date,well_name,on_stream_hrs,bhp,downhole_temp,annulus_p,choke_size,whp,wht,cum_oil,cum_form_gas,cum_total_gas,cum_water,oil_day,gas_day,water_day,max_bhp,Reservoir Name,Initial_PSI,Bubble_PSI,Current_PSI,Solution_GOR,Formation_Factor,Reservoir Type,Flow Mechanism,Production Stability,gor_plot,GOR_Trend_Class,watercut,Watercut_Trend_Class,pi,PI_Trend_Class
2014-02-26,1,12.0,3777.0,205.561,1049.64,42.04315,1557.76,82.885,631.0,636.0,852.0,0.0,631.0,852.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.3502377179080824,aSolGOR,0.0,Incre,-1.491725768321513,Incre
2014-02-27,1,24.0,3527.0,207.698,962.464,45.7525,1456.12,116.828,1798.0,1802.0,2518.0,0.0,1167.0,1666.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.427592116538132,aSolGOR,0.0,Incre,-1.7340267459138188,Incre
2014-02-28,1,24.0,3430.0,208.071,998.02,46.30034,1375.62,120.235,3348.0,3362.0,4715.0,0.0,1550.0,2197.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.4174193548387097,aSolGOR,0.0,Incre,-2.012987012987013,Incre
2014-03-01,1,24.0,3335.0,208.24,977.291,47.07776,1271.45,122.467,4596.0,4614.0,6514.0,0.0,1248.0,1799.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.4415064102564104,aSolGOR,0.0,Incre,-1.4427745664739884,Incre
2014-03-02,1,24.0,3226.0,208.374,985.493,48.34917,1261.95,124.217,5942.0,5969.0,8289.0,0.0,1346.0,1775.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.3187221396731055,aSolGOR,0.0,Incre,-1.3819301848049281,Incre
2014-03-03,1,24.0,3142.0,208.377,971.198,48.78807,1202.41,126.017,7292.0,7337.0,10081.0,0.0,1350.0,1792.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.3274074074074074,aSolGOR,0.0,Incre,-1.275992438563327,Incre
2014-03-04,1,24.0,3067.0,208.357,970.844,49.2138,1092.62,127.378,8637.0,8694.0,11931.0,0.0,1345.0,1850.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.3754646840148699,aSolGOR,0.0,Incre,-1.1871138570167696,Incre
2014-03-05,1,24.0,3037.0,208.268,1034.27,48.6105,1092.96,124.192,9917.0,9995.0,13696.0,0.0,1280.0,1765.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.37890625,aSolGOR,0.0,Incre,-1.1006018916595013,Incre
2014-03-06,1,24.0,3045.0,208.111,1020.24,47.45899,1075.0,119.861,11142.0,11241.0,15436.0,0.0,1225.0,1740.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.420408163265306,aSolGOR,0.0,Incre,-1.0606060606060606,Incre
2014-03-07,1,24.0,3016.0,208.084,969.03,47.47047,1054.01,119.238,12355.0,12469.0,17176.0,0.0,1213.0,1740.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.434460016488046,aSolGOR,0.0,Incre,-1.0244932432432432,Incre
2014-03-08,1,24.0,3020.0,207.985,1005.45,46.85459,1075.32,116.814,13429.0,13558.0,18718.0,0.0,1074.0,1542.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.4357541899441342,aSolGOR,0.0,Incre,-0.9101694915254237,Incre
2014-03-09,1,24.0,3011.0,207.949,1036.84,46.72829,1074.47,116.637,14474.0,14599.0,20132.0,0.0,1045.0,1414.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.35311004784689,aSolGOR,0.0,Incre,-0.8788898233809924,Incre
2014-03-10,1,24.0,3009.0,207.898,987.094,46.04211,1100.84,113.142,15444.0,15579.0,21520.0,0.0,970.0,1388.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.4309278350515464,aSolGOR,0.0,Incre,-0.8144416456759026,Incre
2014-03-11,1,24.0,2994.0,207.923,986.576,46.40482,1056.7,108.123,16390.0,16543.0,22900.0,0.0,946.0,1380.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.4587737843551798,aSolGOR,0.0,Incre,-0.7844112769485904,Incre
2014-03-12,1,24.0,2948.0,208.057,962.554,47.53541,1043.21,114.041,17393.0,17563.0,24309.0,0.0,1003.0,1409.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.4047856430707877,aSolGOR,0.0,Incre,-0.8011182108626198,Incre
2014-03-13,1,24.0,2946.0,208.02,1022.89,46.48279,1012.64,111.873,18318.0,18512.0,25648.0,0.0,925.0,1339.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.4475675675675677,aSolGOR,0.0,Incre,-0.7376395534290271,Incre
2014-03-14,1,24.0,2945.0,207.992,962.694,45.87804,1003.55,112.215,19232.0,19410.0,26935.0,0.0,914.0,1287.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,1.4080962800875274,aSolGOR,0.0,Incre,-0.7282868525896414,Incre
2014-03-15,1,24.0,2950.0,207.764,1022.05,46.69035,1051.51,111.796,20176.0,19777.0,27463.0,0.0,944.0,528.0,0.0,4096.0,JANI,4500.0,4300.0,4200.0,1000.0,1.3,Undersat,GL,Unsteady,0.559322033898305,aSolGOR,0.0,Incre,-0.7552,Incre
